Drug,Gene1,Phenotype1,Gene2,Phenotype2,Recommendation
fluvastatin,CYP2C9,Normal Metabolizer,SLCO1B1,Increased Function,Prescribe desired starting dose and adjust doses of fluvastatin based on disease-specific guidelines.
fluvastatin,CYP2C9,Normal Metabolizer,SLCO1B1,Normal Function,Prescribe desired starting dose and adjust doses of fluvastatin based on disease-specific guidelines.
fluvastatin,CYP2C9,Normal Metabolizer,SLCO1B1,Possible Decreased Function,Prescribe desired starting dose and adjust doses of fluvastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >40mg per day.
fluvastatin,CYP2C9,Normal Metabolizer,SLCO1B1,Decreased Function,Prescribe desired starting dose and adjust doses of fluvastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >40mg per day.
fluvastatin,CYP2C9,Normal Metabolizer,SLCO1B1,Poor Function,"Prescribe <=40mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If patient is tolerating 40mg per day but higher potency is needed, a higher dose (>40mg) or an alternative statin or combination therapy (i.e. fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391) could be considered. Prescriber should be aware of possible increased risk for myopathy with fluvastatin especially with doses >40mg per day."
fluvastatin,CYP2C9,Normal Metabolizer,SLCO1B1,Indeterminate,"Based on CYP2C9 status, prescribe desired starting dose and adjust doses of fluvastatin based on disease-specific guidelines. SLCO1B1 phenotype could not be assigned based on genotyping."
fluvastatin,CYP2C9,Normal Metabolizer,SLCO1B1,None,"Based on CYP2C9 status, prescribe desired starting dose and adjust doses of fluvastatin based on disease-specific guidelines. SLCO1B1 genotype result is not available."
fluvastatin,CYP2C9,Intermediate Metabolizer,SLCO1B1,Increased Function,"Prescribe <=40mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If dose >40mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
fluvastatin,CYP2C9,Intermediate Metabolizer,SLCO1B1,Normal Function,"Prescribe <=40mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If dose >40mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
fluvastatin,CYP2C9,Intermediate Metabolizer,SLCO1B1,Possible Decreased Function,"Prescribe <=20mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
fluvastatin,CYP2C9,Intermediate Metabolizer,SLCO1B1,Decreased Function,"Prescribe <=20mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
fluvastatin,CYP2C9,Intermediate Metabolizer,SLCO1B1,Poor Function,Prescribe an alternative statin depending on the desired potency. (see Table 2 and Figure 1 of PMID: 35152405 for recommendations for alternative statins).
fluvastatin,CYP2C9,Intermediate Metabolizer,SLCO1B1,Indeterminate,"Based on CYP2C9 status, prescribe <=40mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If dose >40mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391). SLCO1B1 phenotype could not be assigned based on genotyping."
fluvastatin,CYP2C9,Intermediate Metabolizer,SLCO1B1,None,"Based on CYP2C9 status, prescribe <=40mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If dose >40mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391). SLCO1B1 genotype result is not available."
fluvastatin,CYP2C9,Poor Metabolizer,SLCO1B1,Increased Function,"Prescribe <=20mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
fluvastatin,CYP2C9,Poor Metabolizer,SLCO1B1,Normal Function,"Prescribe <=20mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
fluvastatin,CYP2C9,Poor Metabolizer,SLCO1B1,Possible Decreased Function,Prescribe an alternative statin depending on the desired potency (see Figure 1 of PMID: 35152405 for recommendations for alternative statins).
fluvastatin,CYP2C9,Poor Metabolizer,SLCO1B1,Decreased Function,Prescribe an alternative statin depending on the desired potency (see Figure 1 of PMID: 35152405 for recommendations for alternative statins).
fluvastatin,CYP2C9,Poor Metabolizer,SLCO1B1,Poor Function,Prescribe an alternative statin depending on the desired potency (see Table 2 and Figure 1 of PMID: 35152405 for recommendations for alternative statins).
fluvastatin,CYP2C9,Poor Metabolizer,SLCO1B1,Indeterminate,"Based on CYP2C9 status, prescribe <=20mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391). SLCO1B1 phenotype could not be assigned based on genotyping."
fluvastatin,CYP2C9,Poor Metabolizer,SLCO1B1,None,"Based on CYP2C9 status, prescribe <=20mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391). SLCO1B1 genotype result is not available."
fluvastatin,CYP2C9,Indeterminate,SLCO1B1,Increased Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses based on disease-specific guidelines. CYP2C9 phenotype could not be assigned based on genotyping."
fluvastatin,CYP2C9,Indeterminate,SLCO1B1,Normal Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses based on disease-specific guidelines. CYP2C9 phenotype could not be assigned based on genotyping."
fluvastatin,CYP2C9,Indeterminate,SLCO1B1,Possible Decreased Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses of fluvastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >40mg per day. CYP2C9 phenotype could not be assigned based on genotyping."
fluvastatin,CYP2C9,Indeterminate,SLCO1B1,Decreased Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses of fluvastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >40mg per day. CYP2C9 phenotype could not be assigned based on genotyping."
fluvastatin,CYP2C9,Indeterminate,SLCO1B1,Poor Function,"Based on SLCO1B1 status, prescribe <=40mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If patient is tolerating 40mg per day but higher potency is needed, a higher dose (>40mg) or an alternative statin (see Figure 1 of PMID: 35152405 for recommendations for alternative statins) or combination therapy (i.e. fluvastatin plus non-statin guideline directed medical therapy)(PMID: 30423391) could be considered. Prescriber should be aware of possible increased risk for myopathy with fluvastatin especially with doses >40mg per day. CYP2C9 phenotype could not be assigned based on genotyping."
fluvastatin,CYP2C9,Indeterminate,SLCO1B1,Indeterminate,None
fluvastatin,CYP2C9,Indeterminate,SLCO1B1,None,None
fluvastatin,CYP2C9,None,SLCO1B1,Increased Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses based on disease-specific guidelines. CYP2C9 genotype result is not available."
fluvastatin,CYP2C9,None,SLCO1B1,Normal Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses based on disease-specific guidelines. CYP2C9 genotype result is not available."
fluvastatin,CYP2C9,None,SLCO1B1,Possible Decreased Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses of fluvastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >40mg per day. CYP2C9 genotype result is not available."
fluvastatin,CYP2C9,None,SLCO1B1,Decreased Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses of fluvastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >40mg per day. CYP2C9 genotype result is not available."
fluvastatin,CYP2C9,None,SLCO1B1,Poor Function,"Based on SLCO1B1 status, prescribe <=40mg per day as a starting dose and adjust doses of fluvastatin based on disease-specific guidelines. If patient is tolerating 40mg per day but higher potency is needed, a higher dose (>40mg) or an alternative statin (see Figure 1 of PMID: 35152405 for recommendations for alternative statins) or combination therapy (i.e. fluvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391) could be considered. Prescriber should be aware of possible increased risk for myopathy with fluvastatin especially with doses >40mg per day. CYP2C9 genotype result is not available."
fluvastatin,CYP2C9,None,SLCO1B1,Indeterminate,None
fluvastatin,CYP2C9,None,SLCO1B1,None,None
rosuvastatin,ABCG2,Normal Function,SLCO1B1,Increased Function,Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines.
rosuvastatin,ABCG2,Normal Function,SLCO1B1,Normal Function,Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines.
rosuvastatin,ABCG2,Normal Function,SLCO1B1,Possible Decreased Function,Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >20mg.
rosuvastatin,ABCG2,Normal Function,SLCO1B1,Decreased Function,Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >20mg.
rosuvastatin,ABCG2,Normal Function,SLCO1B1,Poor Function,"Prescribe <=20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose > 20mg needed for desired efficacy, consider combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
rosuvastatin,ABCG2,Normal Function,SLCO1B1,Indeterminate,"Based on ABCG2 status, prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. SLCO1B1 phenotype could not be assigned based on genotyping."
rosuvastatin,ABCG2,Normal Function,SLCO1B1,None,"Based on ABCG2 status, prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. SLCO1B1 genotype result is not available."
rosuvastatin,ABCG2,Decreased Function,SLCO1B1,Increased Function,Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines.
rosuvastatin,ABCG2,Decreased Function,SLCO1B1,Normal Function,Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines.
rosuvastatin,ABCG2,Decreased Function,SLCO1B1,Possible Decreased Function,Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >20mg.
rosuvastatin,ABCG2,Decreased Function,SLCO1B1,Decreased Function,Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >20mg.
rosuvastatin,ABCG2,Decreased Function,SLCO1B1,Poor Function,"Prescribe <=20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >20mg needed for desired efficacy, consider combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
rosuvastatin,ABCG2,Decreased Function,SLCO1B1,Indeterminate,"Based on ABCG2 status, prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific guidelines and specific population guidelines. SLCO1B1 phenotype could not be assigned based on genotyping."
rosuvastatin,ABCG2,Decreased Function,SLCO1B1,None,"Based on ABCG2 status, prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific guidelines and specific population guidelines. SLCO1B1 genotype result is not available."
rosuvastatin,ABCG2,Poor Function,SLCO1B1,Increased Function,"Prescribe <=20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
rosuvastatin,ABCG2,Poor Function,SLCO1B1,Normal Function,"Prescribe <=20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
rosuvastatin,ABCG2,Poor Function,SLCO1B1,Possible Decreased Function,"Prescribe <=10mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >10mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
rosuvastatin,ABCG2,Poor Function,SLCO1B1,Decreased Function,"Prescribe <=10mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >10mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
rosuvastatin,ABCG2,Poor Function,SLCO1B1,Poor Function,"Prescribe <=10mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >10mg needed for desired efficacy, consider combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391)."
rosuvastatin,ABCG2,Poor Function,SLCO1B1,Indeterminate,"Based on ABCG2 status, prescribe <=20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391). SLCO1B1 phenotype could not be assigned based on genotyping."
rosuvastatin,ABCG2,Poor Function,SLCO1B1,None,"Based on ABCG2 status, prescribe <=20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391). SLCO1B1 genotype result is not available."
rosuvastatin,ABCG2,None,SLCO1B1,Increased Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses based on disease-specific guidelines. ABCG2 genotype result is not available."
rosuvastatin,ABCG2,None,SLCO1B1,Normal Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses based on disease-specific guidelines. ABCG2 genotype result is not available."
rosuvastatin,ABCG2,None,SLCO1B1,Possible Decreased Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >20mg. ABCG2 genotype result is not available."
rosuvastatin,ABCG2,None,SLCO1B1,Decreased Function,"Based on SLCO1B1 status, prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >20mg. ABCG2 genotype result is not available."
rosuvastatin,ABCG2,None,SLCO1B1,Poor Function,"Based on SLCO1B1 status, prescribe <=20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391). ABCG2 genotype result is not available."
rosuvastatin,ABCG2,None,SLCO1B1,Indeterminate,None
rosuvastatin,ABCG2,None,SLCO1B1,None,None
desflurane,CACNA1S,Uncertain Susceptibility,RYR1,Uncertain Susceptibility,"Clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants."
desflurane,CACNA1S,Uncertain Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
desflurane,CACNA1S,Uncertain Susceptibility,RYR1,None,None
desflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Uncertain Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
desflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,None
desflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,None,None
desflurane,CACNA1S,None,RYR1,Uncertain Susceptibility,None
desflurane,CACNA1S,None,RYR1,Malignant Hyperthermia Susceptibility,None
desflurane,CACNA1S,None,RYR1,None,None
enflurane,CACNA1S,Uncertain Susceptibility,RYR1,Uncertain Susceptibility,"Clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants."
enflurane,CACNA1S,Uncertain Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
enflurane,CACNA1S,Uncertain Susceptibility,RYR1,None,None
enflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Uncertain Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
enflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,None
enflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,None,None
enflurane,CACNA1S,None,RYR1,Uncertain Susceptibility,None
enflurane,CACNA1S,None,RYR1,Malignant Hyperthermia Susceptibility,None
enflurane,CACNA1S,None,RYR1,None,None
halothane,CACNA1S,Uncertain Susceptibility,RYR1,Uncertain Susceptibility,"Clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants."
halothane,CACNA1S,Uncertain Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
halothane,CACNA1S,Uncertain Susceptibility,RYR1,None,None
halothane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Uncertain Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
halothane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,None
halothane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,None,None
halothane,CACNA1S,None,RYR1,Uncertain Susceptibility,None
halothane,CACNA1S,None,RYR1,Malignant Hyperthermia Susceptibility,None
halothane,CACNA1S,None,RYR1,None,None
isoflurane,CACNA1S,Uncertain Susceptibility,RYR1,Uncertain Susceptibility,"Clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants."
isoflurane,CACNA1S,Uncertain Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
isoflurane,CACNA1S,Uncertain Susceptibility,RYR1,None,None
isoflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Uncertain Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
isoflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,None
isoflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,None,None
