Gene,Drug,RxNorm,ATC,Guideline,CPICLevel,CPICLevelStatus,PharmGKBLevel,FDALabel,PMID
CYP2C9,flurbiprofen,4502,"M01AE09, M02AA19, R02AX01, S01BC04",https://cpicpgx.org/guidelines/cpic-guideline-for-nsaids-based-on-cyp2c9-genotype/,A,Final,1A,Actionable PGx,32189324
CYP2C9,fluvastatin,41127,C10AA04,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,A,Final,1A,,35152405
SLCO1B1,fluvastatin,41127,C10AA04,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,A,Final,1A,,35152405
CYP2C9,fosphenytoin,72236,N03AB05,https://cpicpgx.org/guidelines/guideline-for-phenytoin-and-cyp2c9-and-hla-b/,A,Final,,Actionable PGx,25099164;32779747
HLA-B,fosphenytoin,72236,N03AB05,https://cpicpgx.org/guidelines/guideline-for-phenytoin-and-cyp2c9-and-hla-b/,A,Final,,Actionable PGx,25099164;32779747
MT-RNR1,gentamicin,1596450,"D06AX07, J01GB03, S01AA11, S02AA14, S03AA06",https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,A,Final,1A,,34032273
CACNA1S,halothane,5095,N01AB01,https://cpicpgx.org/guidelines/cpic-guideline-for-ryr1-and-cacna1s/,A,Final,1A,,30499100
RYR1,halothane,5095,N01AB01,https://cpicpgx.org/guidelines/cpic-guideline-for-ryr1-and-cacna1s/,A,Final,1A,,30499100
CYP2C9,ibuprofen,5640,"C01EB16, G02CC01, M01AE01, M02AA13",https://cpicpgx.org/guidelines/cpic-guideline-for-nsaids-based-on-cyp2c9-genotype/,A,Final,1A,,32189324
UGT1A1,irinotecan,51499,L01XX19,,A,Provisional,1A,Actionable PGx,
CACNA1S,isoflurane,6026,N01AB06,https://cpicpgx.org/guidelines/cpic-guideline-for-ryr1-and-cacna1s/,A,Final,1A,Actionable PGx,30499100
RYR1,isoflurane,6026,N01AB06,https://cpicpgx.org/guidelines/cpic-guideline-for-ryr1-and-cacna1s/,A,Final,1A,Actionable PGx,30499100
CFTR,ivacaftor,1243041,"R07AX02, R07AX30",https://cpicpgx.org/guidelines/guideline-for-ivacaftor-and-cftr/,A,Final,1A,Testing required,24598717
MT-RNR1,kanamycin,6099,"A07AA08, J01GB04, S01AA24",https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,A,Final,1A,,34032273
CYP2C19,lansoprazole,17128,A02BC03,https://cpicpgx.org/guidelines/cpic-guideline-for-proton-pump-inhibitors-and-cyp2c19/,A,Final,1A,Informative PGx,32770672
CYP2C9,lornoxicam,20890,M01AC05,https://cpicpgx.org/guidelines/cpic-guideline-for-nsaids-based-on-cyp2c9-genotype/,A,Final,1A,,32189324
SLCO1B1,lovastatin,6472,C10AA02,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,A,Final,1A,,35152405
CYP2C9,meloxicam,41493,M01AC06,https://cpicpgx.org/guidelines/cpic-guideline-for-nsaids-based-on-cyp2c9-genotype/,A,Final,1A,Actionable PGx,32189324
NUDT15,mercaptopurine,103,L01BB02,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt/,A,Final,1A,Testing recommended,21270794;23422873;30447069
TPMT,mercaptopurine,103,L01BB02,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt/,A,Final,1A,Testing recommended,21270794;23422873;30447069
CACNA1S,methoxyflurane,6857,N02BG09,https://cpicpgx.org/guidelines/cpic-guideline-for-ryr1-and-cacna1s/,A,Final,1A,,30499100
RYR1,methoxyflurane,6857,N02BG09,https://cpicpgx.org/guidelines/cpic-guideline-for-ryr1-and-cacna1s/,A,Final,1A,,30499100
G6PD,methylene blue,6878,NA,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,A,Final,3,Actionable PGx,36049896
MT-RNR1,neomycin,7299,"A01AB08, A07AA01, B05CA09, D06AX04, J01GB05, R02AB01, S01AA03, S02AA07, S03AA01",https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,A,Final,1A,,34032273
MT-RNR1,netilmicin,7337,"J01GB07, S01AA23",https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,A,Final,1A,,34032273
G6PD,nitrofurantoin,7454,J01XE01,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,A,Final,3,Actionable PGx,36049896
CYP2D6,nortriptyline,7531,N06AA10,https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,A,Final,1A,Actionable PGx,23486447;27997040
CYP2C19,omeprazole,7646,A02BC01,https://cpicpgx.org/guidelines/cpic-guideline-for-proton-pump-inhibitors-and-cyp2c19/,A,Final,1A,Actionable PGx,32770672
CYP2D6,ondansetron,26225,A04AA01,https://cpicpgx.org/guidelines/guideline-for-ondansetron-and-tropisetron-and-cyp2d6-genotype/,A,Final,1A,Informative PGx,28002639
HLA-B,oxcarbazepine,32624,N03AF02,https://cpicpgx.org/guidelines/guideline-for-carbamazepine-and-hla-b/,A,Final,1A,Testing recommended,29392710
CYP2C19,pantoprazole,40790,A02BC02,https://cpicpgx.org/guidelines/cpic-guideline-for-proton-pump-inhibitors-and-cyp2c19/,A,Final,1A,Actionable PGx,32770672
MT-RNR1,paromomycin,7934,A07AA06,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,A,Final,,,34032273
CYP2D6,paroxetine,32937,N06AB05,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,A,Final,1A,Informative PGx,25974703;37032427
IFNL3,peginterferon alfa-2a,120608,"L03AB11, L03AB61",https://cpicpgx.org/guidelines/guideline-for-peg-interferon-alpha-based-regimens-and-ifnl3/,A,Final,1A,,24096968
IFNL4,peginterferon alfa-2a,120608,"L03AB11, L03AB61",https://cpicpgx.org/guidelines/guideline-for-peg-interferon-alpha-based-regimens-and-ifnl3/,A,Final,1A,,
IFNL3,peginterferon alfa-2b,253453,"L03AB10, L03AB60",https://cpicpgx.org/guidelines/guideline-for-peg-interferon-alpha-based-regimens-and-ifnl3/,A,Final,1A,Actionable PGx,24096968
IFNL4,peginterferon alfa-2b,253453,"L03AB10, L03AB60",https://cpicpgx.org/guidelines/guideline-for-peg-interferon-alpha-based-regimens-and-ifnl3/,A,Final,1A,,
G6PD,pegloticase,1011650,NA,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,A,Final,3,Testing required,36049896
CYP2C9,phenytoin,8183,"N03AB02, N03AB52",https://cpicpgx.org/guidelines/guideline-for-phenytoin-and-cyp2c9-and-hla-b/,A,Final,1A,Actionable PGx,25099164;32779747
HLA-B,phenytoin,8183,"N03AB02, N03AB52",https://cpicpgx.org/guidelines/guideline-for-phenytoin-and-cyp2c9-and-hla-b/,A,Final,1A,Actionable PGx,25099164;32779747
CYP2C9,piroxicam,8356,M01AC01,https://cpicpgx.org/guidelines/cpic-guideline-for-nsaids-based-on-cyp2c9-genotype/,A,Final,1A,Actionable PGx,32189324
SLCO1B1,pitavastatin,861634,C10AA08,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,A,Final,1A,,35152405
CYP2D6,pitolisant,2197878,N07XX11,,A,Provisional,,Actionable PGx,
MT-RNR1,plazomicin,2049549,,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,A,Final,,,34032273
SLCO1B1,pravastatin,42463,C10AA03,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,A,Final,1A,,35152405
G6PD,primaquine,8687,P01BA03,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,A,Final,3,Testing required,36049896
G6PD,rasburicase,283821,"M04AX01, V03AF07",https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,A,Final,1A,Testing required,24787449;36049896
MT-RNR1,ribostamycin,NA,J01GB10,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,A,Final,1A,,34032273
ABCG2,rosuvastatin,301542,C10AA07,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,A,Final,1A,,35152405
SLCO1B1,rosuvastatin,301542,C10AA07,https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,A,Final,1A,Actionable PGx,35152405
CYP2C19,sertraline,36437,N06AB06,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,A,Final,1A,,25974703;37032427
CACNA1S,sevoflurane,36453,N01AB08,https://cpicpgx.org/guidelines/cpic-guideline-for-ryr1-and-cacna1s/,A,Final,1A,Actionable PGx,30499100
RYR1,sevoflurane,36453,N01AB08,https://cpicpgx.org/guidelines/cpic-guideline-for-ryr1-and-cacna1s/,A,Final,1A,Actionable PGx,30499100
SLCO1B1,simvastatin,36567,"C10AA01, C10BA02, C10BX04, A10BH51, C10BA04, C10BX01",https://cpicpgx.org/guidelines/cpic-guideline-for-statins/,A,Final,1A,Informative PGx,22617227;24918167;35152405
CYP2C9,siponimod,2121085,,,A,Provisional,1A,Testing required,
MT-RNR1,streptomycin,10109,"A07AA04, J01GA01",https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,A,Final,1A,,34032273
CACNA1S,succinylcholine,10154,M03AB01,https://cpicpgx.org/guidelines/cpic-guideline-for-ryr1-and-cacna1s/,A,Final,1A,Actionable PGx,30499100
RYR1,succinylcholine,10154,M03AB01,https://cpicpgx.org/guidelines/cpic-guideline-for-ryr1-and-cacna1s/,A,Final,1A,Actionable PGx,30499100
CYP3A5,tacrolimus,42316,"D11AH01, L04AD02",https://cpicpgx.org/guidelines/guideline-for-tacrolimus-and-cyp3a5/,A,Final,1A,,25801146
G6PD,tafenoquine,2054023,P01BA07,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,A,Final,,Testing required,36049896
CYP2D6,tamoxifen,10324,L02BA01,https://cpicpgx.org/guidelines/cpic-guideline-for-tamoxifen-based-on-cyp2d6-genotype/,A,Final,1A,Actionable PGx,29385237
CYP2C9,tenoxicam,37790,M01AC02,https://cpicpgx.org/guidelines/cpic-guideline-for-nsaids-based-on-cyp2c9-genotype/,A,Final,1A,,32189324
NUDT15,thioguanine,10485,L01BB03,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt/,A,Final,3,Testing recommended,21270794;23422873;30447069
TPMT,thioguanine,10485,L01BB03,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt/,A,Final,3,Testing recommended,21270794;23422873;30447069
MT-RNR1,tobramycin,10627,"J01GB01, S01AA12",https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,A,Final,1A,,34032273
G6PD,toluidine blue,10638,NA,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,A,Final,,,36049896
CYP2D6,tramadol,10689,N02AX02,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,A,Final,1A,Actionable PGx,33387367
CYP2D6,tropisetron,27392,A04AA03,https://cpicpgx.org/guidelines/guideline-for-ondansetron-and-tropisetron-and-cyp2d6-genotype/,A,Final,1A,,28002639
CYP2C19,voriconazole,121243,J02AC03,https://cpicpgx.org/guidelines/guideline-for-voriconazole-and-cyp2c19/,A,Final,1A,Actionable PGx,27981572
CYP2D6,vortioxetine,1455099,N06AX26,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,A,Final,1A,Actionable PGx,37032427
CYP2C9,warfarin,11289,B01AA03,https://cpicpgx.org/guidelines/guideline-for-warfarin-and-cyp2c9-and-vkorc1/,A,Final,1A,Actionable PGx,21900891;28198005
CYP4F2,warfarin,11289,B01AA03,https://cpicpgx.org/guidelines/guideline-for-warfarin-and-cyp2c9-and-vkorc1/,A,Final,1A,,21900891;28198005
VKORC1,warfarin,11289,B01AA03,https://cpicpgx.org/guidelines/guideline-for-warfarin-and-cyp2c9-and-vkorc1/,A,Final,1A,Actionable PGx,21900891;28198005
POLG,divalproex sodium,266856,,,A/B,Provisional,,Testing required,
CYP2D6,eliglustat,1547220,,,A/B,Provisional,,Testing required,
NAT2,hydralazine,5470,C02DB02,,A/B,Provisional,3,,
CYP2D6,oliceridine,2392230,,,A/B,Provisional,,Actionable PGx,
CYP2D6,pimozide,8331,N05AG02,,A/B,Provisional,,Testing required,
CYP2D6,tetrabenazine,10390,N07XX06,,A/B,Provisional,,Testing required,
POLG,valproic acid,11118,N03AG01,,A/B,Provisional,3,Testing required,
GBA,velaglucerase alfa,901805,,,A/B,Provisional,,Testing required,
CYP2C9,acenocoumarol,154,B01AA07,,B,Provisional,1B,,
CYP4F2,acenocoumarol,154,B01AA07,,B,Provisional,2A,,
CYP2D6,aripiprazole,89013,N05AX12,,B,Provisional,1A,Actionable PGx,
UGT1A1,belinostat,1543543,,,B,Provisional,,Actionable PGx,
CYP2C19,brivaracetam,1739745,,,B,Provisional,3,Actionable PGx,
SCN1A,carbamazepine,2002,N03AF01,,B,Provisional,2B,,
NAGS,carglumic acid,401713,A16AA05,,B,Provisional,,Testing required,
CYP2C19,clomipramine,2597,N06AA04,https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,B,Final,1A,,23486447;27997040
CYP2D6,clomipramine,2597,N06AA04,https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,B,Final,1A,Actionable PGx,23486447;27997040
CYP2D6,desipramine,3247,N06AA01,https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,B,Final,1A,Actionable PGx,23486447;27997040
CYP2C19,dexlansoprazole,816346,A02BC06,https://cpicpgx.org/guidelines/cpic-guideline-for-proton-pump-inhibitors-and-cyp2c19/,B,Final,1A,Actionable PGx,32770672
CYP2C19,doxepin,3638,N06AA12,https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,B,Final,1A,Actionable PGx,23486447;27997040
CYP2D6,doxepin,3638,N06AA12,https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,B,Final,1A,Actionable PGx,23486447;27997040
CYP2D6,fluvoxamine,42355,N06AB08,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,B,Final,1A,Actionable PGx,25974703;37032427
CYP2D6,hydrocodone,5489,R05DA03,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,B,Final,1A,,33387367
CYP2C19,imipramine,5691,N06AA02,https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,B,Final,1A,,23486447;27997040
CYP2D6,imipramine,5691,N06AA02,https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,B,Final,1A,Actionable PGx,23486447;27997040
CYP2B6,methadone,6813,N07BC02,,B,Provisional,2A,,
HPRT1,mycophenolic acid,7145,L04AA06,,B,Provisional,,Actionable PGx,
CYP4F2,phenprocoumon,8150,B01AA04,,B,Provisional,3,,
SCN1A,phenytoin,8183,"N03AB02, N03AB52",,B,Provisional,3,,
CYP2D6,risperidone,35636,N05AX08,,B,Provisional,1A,Informative PGx,
CYP2B6,sertraline,36437,N06AB06,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,B,Final,1A,,37032427
CYP2C19,trimipramine,10834,N06AA06,https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,B,Final,1A,,23486447;27997040
CYP2D6,trimipramine,10834,N06AA06,https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,B,Final,1A,Actionable PGx,23486447;27997040
ABL2,valproic acid,11118,N03AG01,,B,Provisional,,,
ASL,valproic acid,11118,N03AG01,,B,Provisional,,,
ASS1,valproic acid,11118,N03AG01,,B,Provisional,,,
CPS1,valproic acid,11118,N03AG01,,B,Provisional,,,
NAGS,valproic acid,11118,N03AG01,,B,Provisional,,,
OTC,valproic acid,11118,N03AG01,,B,Provisional,,Actionable PGx,
CYP2D6,venlafaxine,39786,N06AX16,https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,B,Final,1A,Actionable PGx,37032427
HLA-A,allopurinol,519,"M04AA01, M04AA51",,B/C,Provisional,2B,,
NAT2,amifampridine,2106338,N07XX05,,B/C,Provisional,,Actionable PGx,
NAT2,amifampridine phosphate,2106337,,,B/C,Provisional,,Actionable PGx,
CYP2D6,amoxapine,722,N06AA17,,B/C,Provisional,,Actionable PGx,
CYP2D6,amphetamine,725,N06BA01,,B/C,Provisional,,Informative PGx,
CYP2D6,aripiprazole lauroxil,1673265,,,B/C,Provisional,,Actionable PGx,
ADRB1,atenolol,1202,C07AB03,,B/C,Provisional,,,
GRK5,atenolol,1202,C07AB03,,B/C,Provisional,,,
CYP2C9,avatrombopag,2045726,B02BX08,,B/C,Provisional,,Informative PGx,
CYP2D6,brexpiprazole,1658314,,,B/C,Provisional,,Actionable PGx,
ADRB1,bucindolol,,,,B/C,Provisional,3,,
CYP2B6,bupropion,42347,N06AX12,,B/C,Provisional,2A,,
CYP2C19,carisoprodol,2101,M03BA02,,B/C,Provisional,4,Actionable PGx,
ADRB1,carvedilol,20352,C07AG02,,B/C,Provisional,3,,
CYP2D6,carvedilol,20352,C07AG02,,B/C,Provisional,3,Actionable PGx,
GRK5,carvedilol,20352,C07AG02,,B/C,Provisional,,,
CYP2D6,cevimeline,44281,N07AX03,,B/C,Provisional,,Actionable PGx,
CYP2C19,clobazam,21241,N05BA09,,B/C,Provisional,3,Actionable PGx,
CYP2D6,clozapine,2626,N05AH02,,B/C,Provisional,,Actionable PGx,
SLC28A3,daunorubicin,3109,L01DB02,,B/C,Provisional,,,
CYP2D6,deutetrabenazine,1876905,,,B/C,Provisional,,Actionable PGx,
CYP2D6,dextromethorphan,3289,R05DA09,,B/C,Provisional,3,,
CYP2C19,diazepam,3322,N05BA01,,B/C,Provisional,3,Actionable PGx,
UGT1A1,dolutegravir,1433868,,,B/C,Provisional,,Actionable PGx,
CYP2D6,donepezil,135447,N06DA02,,B/C,Provisional,3,Actionable PGx,
SLC28A3,doxorubicin,3639,L01DB01,,B/C,Provisional,,,
CYP2C9,dronabinol,224925,A04AD10,,B/C,Provisional,,Actionable PGx,
SLCO1B1,elagolix,2049846,,,B/C,Provisional,,Actionable PGx,
CYP2C9,erdafitinib,2123125,,,B/C,Provisional,,Actionable PGx,
CYP2D6,flecainide,4441,C01BC04,,B/C,Provisional,1A,,
CYP2D6,gefitinib,328134,L01XE02,,B/C,Provisional,3,Actionable PGx,
CYP2D6,haloperidol,5093,N05AD01,,B/C,Provisional,1A,,
CYP2D6,iloperidone,73178,,,B/C,Provisional,3,Actionable PGx,
CYP2D6,labetalol,6185,C07AG01,,B/C,Provisional,,,
HLA-DRB1,lapatinib,480167,L01XE07,,B/C,Provisional,3,Actionable PGx,
CYP2C9,lesinurad,1731031,,,B/C,Provisional,,Actionable PGx,
G6PD,lidocaine,6387,"C01BB01, C05AD01, D04AB01, N01BB02, R02AD02, S01HA07, S02DA01",,B/C,Provisional,,,
MTHFR,l-methylfolate,1025342,,,B/C,Provisional,3,,
CYP2D6,lofexidine,28863,N07BC04,,B/C,Provisional,,Actionable PGx,
CYP2D6,meclizine,6676,R06AE05,,B/C,Provisional,,Actionable PGx,
CYP2D6,metoclopramide,6915,A03FA01,,B/C,Provisional,,Actionable PGx,
ADRB1,metoprolol,6918,C07AB02,,B/C,Provisional,3,,
CYP2D6,metoprolol,6918,C07AB02,,B/C,Provisional,1A,Informative PGx,
GRK5,metoprolol,6918,C07AB02,,B/C,Provisional,,,
CYP2D6,mirabegron,1300786,,,B/C,Provisional,,Actionable PGx,
CYP2D6,mirtazapine,15996,N06AX11,,B/C,Provisional,2A,,
BCHE,mivacurium,30077,M03AC,,B/C,Provisional,,,
CYP2D6,nebivolol,31555,C07AB12,,B/C,Provisional,,Informative PGx,
CYP2B6,nevirapine,53654,J05AG01,,B/C,Provisional,2A,,
UGT1A1,nilotinib,662281,L01XE08,,B/C,Provisional,3,Actionable PGx,
HLA-B,pazopanib,714438,L01XE,,B/C,Provisional,,Actionable PGx,
UGT1A1,pazopanib,714438,L01XE,,B/C,Provisional,3,Actionable PGx,
CYP2D6,perphenazine,8076,N05AB03,,B/C,Provisional,,Actionable PGx,
NAT2,procainamide,8700,C01BA02,,B/C,Provisional,,Informative PGx,
CYP2D6,propafenone,8754,C01BC03,,B/C,Provisional,1A,Actionable PGx,
CYP2D6,propranolol,8787,C07AA05,,B/C,Provisional,4,Informative PGx,
CYP2D6,protriptyline,8886,N06AA11,,B/C,Provisional,,Actionable PGx,
UGT1A1,raltegravir,719872,,,B/C,Provisional,,Informative PGx,
BCHE,succinylcholine,10154,M03AB01,,B/C,Provisional,3,Actionable PGx,
NAT2,sulfamethoxazole / trimethoprim,10831,NA,,B/C,Provisional,3,Actionable PGx,
NAT2,sulfasalazine,9524,A07EC01,,B/C,Provisional,,Actionable PGx,
CYP2D6,tamsulosin,77492,G04CA02,,B/C,Provisional,,Actionable PGx,
CYP2D6,thioridazine,10502,N05AC02,,B/C,Provisional,3,Actionable PGx,
CYP2D6,timolol,10600,"C07AA06, S01ED01",,B/C,Provisional,3,,
CYP2D6,valbenazine,1918219,,,B/C,Provisional,,Actionable PGx,
CYP2D6,zuclopenthixol,114176,N05AF05,,B/C,Provisional,1A,,
CYP2C9,aceclofenac,16689,M01AB16,https://cpicpgx.org/guidelines/cpic-guideline-for-nsaids-based-on-cyp2c9-genotype/,C,Final,,,32189324
TNF,adalimumab,327361,L04AB04,,C,Provisional,,,
COMT,alfentanil,480,N01AH02,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,,,33387367
OPRM1,alfentanil,480,N01AH02,https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,C,Final,3,,33387367
HLA-C,allopurinol,519,"M04AA01, M04AA51",,C,Provisional,2B,,
G6PD,aminosalicylic acid,7833,J04AA01,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,,,36049896
MC4R,amisulpride,46303,N05AL05,,C,Provisional,3,,
MC4R,aripiprazole,89013,N05AX12,,C,Provisional,3,,
CYP2C9,aspirin,1191,"A01AD05, B01AC06, B01AC56, C10BX01, C10BX02, C10BX04, C10BX05, C10BX06, C10BX08, M01BA03, N02BA01, N02BA51, N02BA71",https://cpicpgx.org/guidelines/cpic-guideline-for-nsaids-based-on-cyp2c9-genotype/,C,Final,,,32189324
G6PD,aspirin,1191,"A01AD05, B01AC06, B01AC56, C10BX01, C10BX02, C10BX04, C10BX05, C10BX06, C10BX08, M01BA03, N02BA01, N02BA51, N02BA71",https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,C,Final,3,,36049896
